,position,handle,rating,rank_from,index_from,rank_to,index_to
399,1071,Do_not_make_friends,2272,Master,4,Specialist,7
400,1078,H_W_Y,2271,Master,4,Specialist,7
401,1095,Valters07,2267,Master,4,Specialist,7
402,1099,piasticOuO,2266,Master,4,Specialist,7
403,1102,dspr_,2265,Master,4,Newbie,9
404,1102,Linear_B,2265,Master,4,Legendary Grandmaster,0
405,1102,min_inf,2265,Master,4,Newbie,9
406,1112,okwedook,2264,Master,4,Specialist,7
407,1112,_Rise,2264,Master,4,Specialist,7
408,1112,meowcneil,2264,Master,4,Newbie,9
409,1112,xvzhiming,2264,Master,4,Legendary Grandmaster,0
410,1112,wzj33300,2264,Master,4,Expert,6
411,1119,lichenghan,2263,Master,4,Specialist,7
412,1119,sunrise1024,2263,Master,4,Newbie,9
413,1128,OtterZ,2261,Master,4,Expert,6
414,1133,lfxxx,2260,Master,4,Legendary Grandmaster,0
415,1133,juruoA,2260,Master,4,Grandmaster,2
416,1140,DimonKrutoi,2259,Master,4,Legendary Grandmaster,0
417,1140,wfb,2259,Master,4,Specialist,7
418,1140,leolin0214,2259,Master,4,Specialist,7
419,1148,Boboge,2258,Master,4,International Grandmaster,1
420,1152,SpadeA261,2257,Master,4,Legendary Grandmaster,0
421,1152,Mindeveloped,2257,Master,4,Specialist,7
422,1164,cdd,2255,Master,4,Specialist,7
423,1174,crazyilian,2253,Master,4,Pupil,8
424,1178,MarSer020,2252,Master,4,Specialist,7
425,1178,_minhduccp,2252,Master,4,Grandmaster,2
426,1182,NaOH_Frog,2251,Master,4,Expert,6
427,1182,Mafuyu_Asahina,2251,Master,4,Candidate Master,5
428,1182,lycc,2251,Master,4,Specialist,7
429,1182,ha___il,2251,Master,4,Candidate Master,5
430,1193,djm03178,2250,Master,4,Grandmaster,2
431,1193,qiuyuanzhi,2250,Master,4,Pupil,8
432,1193,bingpao,2250,Master,4,Legendary Grandmaster,0
433,1202,TheSahib,2249,Master,4,International Grandmaster,1
434,1210,nishkarsh,2247,Master,4,Expert,6
435,1216,magnified,2246,Master,4,Newbie,9
436,1216,penguin133,2246,Master,4,Pupil,8
437,1226,darkkcyan,2244,Master,4,Specialist,7
438,1226,fishy15,2244,Master,4,Newbie,9
439,1226,chenyewei_1234,2244,Master,4,Newbie,9
440,1226,timreizin,2244,Master,4,Expert,6
441,1233,Silver_Fox,2243,Master,4,Specialist,7
442,1233,Edu175,2243,Master,4,Expert,6
443,1238,Rayo,2242,Master,4,Candidate Master,5
444,1238,Ste,2242,Master,4,Pupil,8
445,1238,dongyinjie001,2242,Master,4,Specialist,7
446,1245,salyg1n,2241,Master,4,Legendary Grandmaster,0
447,1245,unordered_map,2241,Master,4,Legendary Grandmaster,0
448,1245,160cm,2241,Master,4,Specialist,7
449,1248,Suwan,2240,Master,4,Candidate Master,5
450,1248,ETO_leader,2240,Master,4,Grandmaster,2
451,1248,miscalc,2240,Master,4,Newbie,9
452,1251,Cai_Guang,2239,Master,4,Grandmaster,2
453,1254,DAleksa,2238,Master,4,Grandmaster,2
454,1254,udhavvarma03,2238,Master,4,Newbie,9
455,1254,not_natural_fruits,2238,Master,4,Specialist,7
456,1262,polosatic,2237,Master,4,Grandmaster,2
457,1267,oursaco,2236,Master,4,Newbie,9
458,1275,Kustov_Vadim_533,2235,Master,4,Pupil,8
459,1275,Hectonit,2235,Master,4,Expert,6
460,1275,chenyitaoooo,2235,Master,4,Newbie,9
461,1275,mohammadsam,2235,Master,4,Grandmaster,2
462,1275,masonpop,2235,Master,4,International Grandmaster,1
463,1275,Proof_by_QED,2235,Master,4,Candidate Master,5
464,1292,Cro-Marmot,2234,Master,4,Newbie,9
465,1292,amoeba4,2234,Master,4,Newbie,9
